Use Glasses,1
Use ASR,1
Gaze object,cereals,Decision Prob.,0.333333,>,Threshold plan,Seconds from demo start time,25.466
Compute grasp poses object,cereals3,,,,,Seconds from demo start time,25.519
Feasible reaching pose for object,cereals3,,,,,Seconds from demo start time,26.029
Plan trajectory reaching pose for object,cereals3,arm,right,,,Seconds from demo start time,26.329
Asr command to grasp object,milk,different,,,,Seconds from demo start time,28.667
